"","x"
"1","00/01-04-069-21W5/2"
"2","00/01-06-062-26W5/0"
"3","00/01-21-061-26W5/0"
"4","00/03-08-065-18W5/0"
"5","00/04-08-069-21W5/2"
"6","00/05-05-062-26W5/0"
"7","00/05-06-064-18W5/0"
"8","00/05-27-061-26W5/0"
"9","00/06-27-058-21W5/0"
"10","00/07-11-060-19W5/2"
"11","00/13-13-062-26W5/0"
"12","00/13-20-071-25W5/0"
"13","00/16-04-059-21W5/2"
"14","00/16-24-061-27W5/0"
"15","00/16-30-066-23W5/0"
"16","00/16-31-061-26W5/0"
"17","02/01-21-060-19W5/0"
"18","02/09-26-060-24W5/2"
"19","02/13-26-058-20W5/0"
"20","02/14-27-060-23W5/0"
"21","02/16-01-069-22W5/0"
"22","00/01-13-066-06W6/0"
"23","00/01-28-066-06W6/0"
"24","00/01-28-070-09W6/2"
"25","00/01-34-063-04W6/2"
"26","00/01-34-065-06W6/0"
"27","00/01-36-063-05W6/0"
"28","00/02-26-070-09W6/0"
"29","00/02-28-063-04W6/0"
"30","00/03-11-071-09W6/0"
"31","00/03-27-070-09W6/0"
"32","00/03-28-060-02W6/2"
"33","00/03-28-063-04W6/0"
"34","00/04-15-062-02W6/0"
"35","00/04-27-065-06W6/2"
"36","00/04-28-063-04W6/0"
"37","00/05-06-071-08W6/0"
"38","00/05-26-065-06W6/0"
"39","00/07-05-066-05W6/0"
"40","00/07-06-066-05W6/0"
"41","00/08-05-068-07W6/0"
"42","00/08-06-066-05W6/0"
"43","00/08-08-071-09W6/0"
"44","00/08-10-064-05W6/0"
"45","00/08-15-068-08W6/0"
"46","00/08-34-063-05W6/0"
"47","00/09-15-061-02W6/0"
"48","00/11-10-077-21W5/0"
"49","00/11-32-065-04W6/0"
"50","00/13-02-066-06W6/0"
"51","00/13-03-069-08W6/0"
"52","00/13-07-071-08W6/0"
"53","00/13-08-070-09W6/0"
"54","00/13-18-067-07W6/2"
"55","00/13-23-063-06W6/0"
"56","00/13-25-063-06W6/0"
"57","00/13-25-064-06W6/0"
"58","00/13-32-065-04W6/0"
"59","00/13-33-060-03W6/0"
"60","00/13-36-066-06W6/0"
"61","00/14-04-069-08W6/0"
"62","00/14-24-058-02W6/2"
"63","00/14-35-058-02W6/0"
"64","00/15-04-064-03W6/0"
"65","00/15-09-063-03W6/0"
"66","00/15-17-068-08W6/2"
"67","00/15-29-079-22W5/0"
"68","00/16-13-064-05W6/0"
"69","00/16-20-063-05W6/0"
"70","00/16-22-065-06W6/0"
"71","02/03-28-063-04W6/0"
"72","02/04-08-067-07W6/0"
"73","02/04-13-063-05W6/0"
"74","02/05-22-064-05W6/0"
"75","02/05-31-063-04W6/0"
"76","02/08-27-063-05W6/0"
"77","02/09-05-064-04W6/0"
"78","02/11-06-071-08W6/0"
"79","02/13-18-064-04W6/0"
"80","02/14-17-064-05W6/0"
"81","02/15-01-064-05W6/0"
"82","02/16-05-062-03W6/2"
"83","02/16-05-064-04W6/0"
"84","03/01-28-070-09W6/0"
"85","03/03-27-063-04W6/0"
"86","03/08-05-066-05W6/0"
"87","05/05-31-063-04W6/0"
"88","W0/13-23-066-07W6/0"
"89","00/02-27-075-11W6/0"
"90","00/02-28-078-14W6/0"
"91","00/05-07-077-14W6/0"
"92","00/05-29-071-09W6/0"
"93","00/06-19-077-15W6/2"
"94","00/08-27-076-12W6/0"
"95","00/10-28-078-11W6/0"
"96","00/10-32-078-11W6/0"
"97","00/12-36-075-13W6/0"
"98","00/13-20-077-10W6/0"
"99","00/14-14-078-11W6/0"
"100","00/14-35-076-12W6/0"
"101","00/15-19-077-10W6/0"
"102","02/01-05-076-13W6/0"
"103","02/08-21-077-11W6/0"
"104","02/09-33-078-11W6/0"
"105","02/13-13-071-10W6/0"
"106","03/14-28-077-10W6/0"
"107","04/09-33-078-11W6/0"
"108","00/01-08-079-11W6/0"
"109","00/01-11-079-12W6/0"
"110","00/01-13-080-16W6/0"
"111","00/01-28-080-18W6/0"
"112","00/01-30-079-14W6/0"
"113","00/01-34-080-18W6/0"
"114","00/02-11-079-12W6/0"
"115","00/03-09-079-17W6/0"
"116","00/04-04-079-18W6/0"
"117","00/04-17-079-14W6/0"
"118","00/05-07-080-18W6/0"
"119","00/05-25-079-15W6/0"
"120","00/05-26-080-16W6/0"
"121","00/05-26-080-18W6/0"
"122","00/05-31-080-15W6/0"
"123","00/07-08-080-17W6/0"
"124","00/08-13-080-16W6/0"
"125","00/08-16-080-16W6/0"
"126","00/08-19-080-15W6/0"
"127","00/08-27-079-13W6/0"
"128","00/08-28-080-18W6/0"
"129","00/08-32-080-16W6/0"
"130","00/08-34-080-18W6/0"
"131","00/09-13-080-16W6/0"
"132","00/09-14-080-18W6/0"
"133","00/09-19-080-15W6/0"
"134","00/11-35-079-13W6/0"
"135","00/12-04-079-18W6/0"
"136","00/12-14-080-16W6/0"
"137","00/12-26-080-18W6/0"
"138","00/12-27-080-16W6/0"
"139","00/12-27-080-18W6/0"
"140","00/12-29-079-14W6/0"
"141","00/12-29-080-15W6/0"
"142","00/13-08-079-11W6/0"
"143","00/13-09-079-11W6/0"
"144","00/13-19-080-18W6/2"
"145","00/13-21-080-16W6/0"
"146","00/13-26-080-18W6/0"
"147","00/15-32-080-18W6/0"
"148","00/16-03-080-18W6/0"
"149","00/16-18-080-15W6/0"
"150","00/16-33-078-18W6/0"
"151","00/16-35-079-15W6/0"
"152","02/01-13-080-16W6/0"
"153","02/01-34-080-18W6/0"
"154","02/02-31-080-18W6/0"
"155","02/04-08-080-17W6/0"
"156","02/05-26-080-18W6/0"
"157","02/07-31-080-18W6/0"
"158","02/08-28-080-18W6/0"
"159","02/08-34-080-18W6/2"
"160","02/12-18-080-17W6/0"
"161","02/12-26-080-16W6/0"
"162","02/12-26-080-18W6/0"
"163","02/12-29-080-15W6/0"
"164","02/13-31-080-15W6/0"
"165","02/15-32-080-18W6/0"
"166","02/16-17-080-18W6/0"
"167","02/16-19-080-15W6/0"
"168","02/16-28-080-18W6/0"
"169","03/06-20-080-18W6/0"
"170","03/07-08-079-18W6/0"
"171","03/12-31-080-15W6/0"
"172","04/04-31-080-15W6/0"
"173","00/01-07-082-19W6/0"
"174","00/01-13-082-20W6/0"
"175","00/01-14-082-20W6/0"
"176","00/02-05-082-22W6/2"
"177","00/02-14-082-20W6/0"
"178","00/03-07-088-22W6/0"
"179","00/05-06-082-19W6/0"
"180","00/06-07-084-24W6/0"
"181","00/07-05-082-21W6/0"
"182","00/08-13-082-20W6/0"
"183","00/12-18-082-19W6/0"
"184","00/13-06-082-19W6/0"
"185","00/14-18-080-20W6/0"
"186","00/14-31-081-19W6/0"
"187","00/15-30-087-03W6/0"
"188","00/16-06-082-19W6/0"
"189","00/C-015-J/093-P-01/0"
"190","02/01-19-081-17W6/0"
"191","02/02-29-083-25W6/0"
"192","02/05-33-081-19W6/0"
"193","02/05-33-081-20W6/0"
"194","02/13-22-082-20W6/0"
"195","02/16-03-081-20W6/0"
"196","03/04-03-082-19W6/0"
"197","03/09-03-081-20W6/0"
"198","03/09-33-081-20W6/0"
"199","00/A-003-F/093-P-09/0"
"200","00/A-004-H/093-P-09/0"
"201","00/A-035-H/094-B-09/0"
"202","00/A-052-I/094-B-01/0"
"203","00/A-083-B/094-B-16/0"
"204","00/B-002-F/093-P-09/0"
"205","00/B-021-G/093-P-09/0"
"206","00/B-047-F/093-P-09/0"
"207","00/B-071-I/094-B-01/0"
"208","00/B-078-I/094-B-01/0"
"209","00/C-005-H/093-P-09/0"
"210","00/C-015-B/094-A-13/0"
"211","00/C-023-G/094-B-09/0"
"212","00/C-042-F/093-P-09/0"
"213","00/C-043-C/094-B-15/0"
"214","00/C-098-A/094-B-16/0"
"215","00/C-099-A/094-B-16/0"
"216","00/D-025-H/094-B-09/0"
"217","00/D-026-B/094-B-16/0"
"218","00/D-039-C/093-P-10/2"
"219","00/D-039-F/093-P-09/0"
"220","00/D-043-I/094-A-13/0"
"221","00/D-057-G/094-B-16/0"
"222","00/D-079-J/094-B-09/0"
"223","00/D-099-A/094-B-16/0"
"224","02/A-006-G/094-B-16/0"
"225","02/A-051-J/094-B-09/0"
"226","02/A-100-H/094-B-09/0"
"227","02/B-071-I/094-B-01/2"
"228","02/C-089-A/094-B-16/2"
"229","02/C-098-A/094-B-16/0"
"230","02/C-099-A/094-B-16/0"
"231","02/D-026-B/094-B-16/0"
"232","02/D-099-A/094-B-16/0"
"233","03/A-052-I/094-B-01/0"
"234","03/B-071-I/094-B-01/0"
"235","03/C-091-E/094-G-01/0"
"236","03/D-099-A/094-B-16/0"
"237","04/D-099-A/094-B-16/0"
"238","05/B-071-I/094-B-01/0"
"239","00/03-17-060-23W5/0"
"240","00/06-17-060-23W5/0"
"241","00/07-12-088-23W6/0"
"242","00/11-17-060-23W5/0"
"243","00/13-31-080-15W6/0"
"244","00/16-23-077-12W6/0"
"245","00/16-33-061-27W5/0"
"246","02/12-31-080-15W6/0"
"247","02/16-20-063-05W6/0"
"248","03/11-05-068-05W6/0"
"249","03/15-35-063-05W6/0"
"250","00/C-037-H/094-G-07/0"
"251","00/C-046-I/094-G-01/0"
"252","00/D-049-J/094-G-02/0"
"253","00/D-050-G/094-G-02/0"
"254","02/C-084-A/094-G-07/0"
"255","02/D-016-J/094-G-02/0"
"256","03/B-046-D/094-G-08/0"
